Título,Autores,Ano,Link
Inteligência Artificial e Direito Administrativo,"['AMA de Souza', 'A Saddy', 'AD de Meireles Seyller']",2022,https://books.google.com/books?hl=en&lr=&id=6r-xEAAAQBAJ&oi=fnd&pg=PA5&dq=Centro+de+Inform%C3%A1tica+UFPB+OR+%27Center+for+Informatics+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+UFPB%27+OR+%27Computer+Science+UFPB%27+OR++%27Intelig%C3%AAncia+Artificial+e+Ci%C3%AAncia+de+Dados%27+OR+%27Artificial+Intelligence+UFPB%27+OR+%27Aprendizado+de+M%C3%A1quina+UFPB%27+OR+%27Machine+Learning+UFPB%27+OR+%27Ci%C3%AAncia+de+Dados+UFPB%27+OR+%27Data+Science+UFPB%27+OR+%27Vis%C3%A3o+Computacional+UFPB%27+OR+%27Computer+Vision+UFPB%27+OR+%27Processamento+de+Linguagem+Natural+UFPB%27+OR+%27Natural+Language+Processing+UFPB%27+OR++%27Engenharia+de+Software+e+Sistemas%27+OR+%27Software+Engineering+UFPB%27+OR+%27Desenvolvimento+de+Software+UFPB%27+OR+%27Software+Development+UFPB%27+OR+%27Arquitetura+de+Software+UFPB%27+OR+%27Software+Architecture+UFPB%27+OR+%27Sistemas+Distribu%C3%ADdos+UFPB%27+OR+%27Distributed+Systems+UFPB%27+OR++%27Redes+e+Seguran%C3%A7a+da+Informa%C3%A7%C3%A3o%27+OR+%27Information+Security+UFPB%27+OR+%27Criptografia+UFPB%27+OR+%27Cryptography+UFPB%27+OR+%27Redes+de+Computadores+UFPB%27+OR+%27Computer+Networks+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+em+Nuvem+UFPB%27+OR+%27Cloud+Computing+UFPB%27+OR++%27Computa%C3%A7%C3%A3o+Gr%C3%A1fica+e+Intera%C3%A7%C3%A3o+Humano-Computador%27+OR+%27Computer+Graphics+UFPB%27+OR+%27Intera%C3%A7%C3%A3o+Humano-Computador+UFPB%27+OR+%27Human-Computer+Interaction+UFPB%27+OR+%27Realidade+Virtual+UFPB%27+OR+%27Virtual+Reality+UFPB%27+OR+%27Realidade+Aumentada+UFPB%27+OR+%27Augmented+Reality+UFPB%27+OR++%27Outras+%C3%A1reas%27+OR+%27Computa%C3%A7%C3%A3o+Qu%C3%A2ntica+UFPB%27+OR+%27Quantum+Computing+UFPB%27+OR+%27Otimiza%C3%A7%C3%A3o+UFPB%27+OR+%27Optimization+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+Paralela+UFPB%27+OR+%27Parallel+Computing+UFPB%27&ots=vtklzaqKv7&sig=LKy2OjzSaOcw0LKwJkBHJqdD-eM
Mapeamento sistemático sobre o uso de ontologias em informática médica,['MRA Mota'],2013,https://repositorio.ufpb.br/handle/tede/6123
Competíªncias e habilidades digitais requeridas aos profissionais da informaí § í£ o nos anúncios brasileiros de emprego na web,"['FC Paletta', 'JA Pastor-Sánchez']",2021,https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/79645
Desenvolvimento de chatbot usando aprendizagem de máquina como auxílio para responder perguntas sobre vacinas para Covid-19,['M Silva'],2021,https://repositorio.ufsc.br/handle/123456789/234566
Previsão de demanda de cosméticos no varejo utilizando aprendizagem de máquina,['ACC Sousa'],2024,https://repositorio.ufpb.br/jspui/handle/123456789/32390
O uso de aprendizado de máquina para identificar alunos em risco de evasão na educação a distância,['MM Oliveira'],2020,https://repositorio.furg.br/bitstream/handle/1/9858/0000013522.pdf?sequence=1
A inteligência artificial na medicina,"['DR Geovanini', 'ACA Carneiro', 'PC de Oliveira Junior']",2024,https://books.google.com/books?hl=en&lr=&id=TjkvEQAAQBAJ&oi=fnd&pg=PA17&dq=Centro+de+Inform%C3%A1tica+UFPB+OR+%27Center+for+Informatics+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+UFPB%27+OR+%27Computer+Science+UFPB%27+OR++%27Intelig%C3%AAncia+Artificial+e+Ci%C3%AAncia+de+Dados%27+OR+%27Artificial+Intelligence+UFPB%27+OR+%27Aprendizado+de+M%C3%A1quina+UFPB%27+OR+%27Machine+Learning+UFPB%27+OR+%27Ci%C3%AAncia+de+Dados+UFPB%27+OR+%27Data+Science+UFPB%27+OR+%27Vis%C3%A3o+Computacional+UFPB%27+OR+%27Computer+Vision+UFPB%27+OR+%27Processamento+de+Linguagem+Natural+UFPB%27+OR+%27Natural+Language+Processing+UFPB%27+OR++%27Engenharia+de+Software+e+Sistemas%27+OR+%27Software+Engineering+UFPB%27+OR+%27Desenvolvimento+de+Software+UFPB%27+OR+%27Software+Development+UFPB%27+OR+%27Arquitetura+de+Software+UFPB%27+OR+%27Software+Architecture+UFPB%27+OR+%27Sistemas+Distribu%C3%ADdos+UFPB%27+OR+%27Distributed+Systems+UFPB%27+OR++%27Redes+e+Seguran%C3%A7a+da+Informa%C3%A7%C3%A3o%27+OR+%27Information+Security+UFPB%27+OR+%27Criptografia+UFPB%27+OR+%27Cryptography+UFPB%27+OR+%27Redes+de+Computadores+UFPB%27+OR+%27Computer+Networks+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+em+Nuvem+UFPB%27+OR+%27Cloud+Computing+UFPB%27+OR++%27Computa%C3%A7%C3%A3o+Gr%C3%A1fica+e+Intera%C3%A7%C3%A3o+Humano-Computador%27+OR+%27Computer+Graphics+UFPB%27+OR+%27Intera%C3%A7%C3%A3o+Humano-Computador+UFPB%27+OR+%27Human-Computer+Interaction+UFPB%27+OR+%27Realidade+Virtual+UFPB%27+OR+%27Virtual+Reality+UFPB%27+OR+%27Realidade+Aumentada+UFPB%27+OR+%27Augmented+Reality+UFPB%27+OR++%27Outras+%C3%A1reas%27+OR+%27Computa%C3%A7%C3%A3o+Qu%C3%A2ntica+UFPB%27+OR+%27Quantum+Computing+UFPB%27+OR+%27Otimiza%C3%A7%C3%A3o+UFPB%27+OR+%27Optimization+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+Paralela+UFPB%27+OR+%27Parallel+Computing+UFPB%27&ots=sLzdVUd96m&sig=SPgcjzKXEemZcr-dvMFFxItKpMo
WALTER PELISSARI GAMBA,['V DE GÁS'],NA,https://dspace.mackenzie.br/bitstreams/39a14039-e873-4c74-a167-eeb37680f09f/download
Brain Controlled UGV: Desenvolvimento de veículo terrestre não-tripulado controlado por interface cérebro-computador,['IN Marinho'],2024,https://repositorio.ufpb.br/jspui/handle/123456789/32542
Modelo de inteligência de dados em uma organização de grande porte voltada à saúde do trabalhador,['JB Lima'],2023,https://www.bdtd.uerj.br:8443/handle/1/22682
